Name,W,L,RA,G,R,RBI
Baltimore Orioles,101,61,678,162,807,780
Boston Red Sox,78,84,776,162,772,734
Chicago White Sox,61,101,841,162,641,617
Cleveland Guardians,76,86,697,162,662,622
Detroit Tigers,78,84,740,162,661,635
Houston Astros,90,72,698,162,827,799
Kansas City Royals,56,106,859,162,676,651
Los Angeles Angels,73,89,829,162,739,708
Minnesota Twins,87,75,659,162,778,745
New York Yankees,82,80,698,162,673,650
Oakland Athletics,50,112,924,162,585,563
Seattle Mariners,88,74,659,162,758,728
Tampa Bay Rays,99,63,665,162,860,827
Texas Rangers,90,72,716,162,881,845
Toronto Blue Jays,89,73,671,162,746,705
