Ian Happ,.253
Kyle Tucker,.318
Dansby Swanson,.170
Jarren Duran,.233
Corbin Carroll,.321
Pete Crow-Armstrong,.271
Rafael Devers,.228
Bo Bichette,.302
Shohei Ohtani,.288
Julio Rodriguez,.179
Brent Rooker,.244
Luis Arraez,.294
Bryan Reynolds,.222
Bobby Witt Jr.,.313
Willy Adames,.185
Alex Bregman,.309
Jackson Chourio,.264
Aaron Judge,.384
Xavier Edwards,.329
Bryce Harper,.264
Geraldo Perdomo,.324
Heliot Ramos,.226
Kyle Schwarber,.286
Randy Arozarena,.203
Yandy Diaz,.207
Lars Nootbaar,.264
Cal Raleigh,.218
Spencer Torkelson,.288
Lawrence Butler,.293
Matt Chapman,.232
Vladimir Guerrero Jr.,.280
Francisco Lindor,.263
Josh Naylor,.333
Anthony Santander,.221
Juan Soto,.225
Brice Turang,.313
Pete Alonso,.348
Elly De La Cruz,.241
Tommy Edman,.288
Salvador Perez,.203
Tyler Soderstrom,.325
Seiya Suzuki,.284
Jazz Chisholm Jr.,.160
Brendan Donovan,.380
Fernando Tatis Jr.,.342
Taylor Ward,.225
Andres Gimenez,.192
Isaac Paredes,.222
Trevor Story,.321
Jose Altuve,.321
Paul Goldschmidt,.373
Steven Kwan,.320
Manny Machado,.307
Brandon Nimmo,.197
Vinnie Pasquantino,.203
Eugenio Suarez,.153
Anthony Volpe,.197
Ozzie Albies,.257
Nolan Arenado,.296
Xander Bogaerts,.257
Willson Contreras,.145
Austin Riley,.269
Carlos Santana,.260
Mike Trout,.171
James Wood,.229
JJ Bleday,.217
Jonathan India,.188
Jung Hoo Lee,.361
Matt Olson,.209
Alec Bohm,.177
Michael Busch,.306
William Contreras,.235
Sal Frelick,.319
Riley Greene,.250
Mookie Betts,.254
TJ Friedl,.268
Lourdes Gurriel Jr.,.162
Otto Lopez,.243
Joey Ortiz,.191
Mark Vientos,.171
Christian Walker,.159
Kristian Campbell,.288
Nick Castellanos,.319
Ty France,.254
Michael Harris II,.197
Nico Hoerner,.324
Jeremy Pena,.221
Adley Rutschman,.203
Nolan Schanuel,.282
Marcus Semien,.141
Jorge Soler,.265
Trea Turner,.217
Trevor Larnach,.185
Kyle Stowers,.288
Miguel Vargas,.145
Jordan Walker,.239
Christian Yelich,.194
Yordan Alvarez,.210
Oneil Cruz,.230
Teoscar Hernandez,.264
Michael Massey,.208
Wilyer Abreu,.306
Junior Caminero,.286
Wilmer Flores,.225
Adolis Garcia,.227
Nathaniel Lowe,.284
Jose Ramirez,.266
Luis Rengifo,.229
Jacob Wilson,.333
Jeimer Candelario,.123
Michael Conforto,.200
J.P. Crawford,.211
Maikel Garcia,.277
Ke'Bryan Hayes,.194
Isiah Kiner-Falefa,.269
Ryan McMahon,.215
Cedric Mullins,.288
Ben Rice,.297
